,x,y,holdout,city,lst_day_mean,lst_night_mean,lst_day_max,lst_night_max,ndvi_mean,alb_mean,svf_mean,dsm_sd,bldg,lcov_11,tree_mean,svf_max,nbdi_max,tree_max,dsm_mean,pdens_mean,tree_min
0,424996.178971041,189212.211496295,16,bal,2.0326332827692752,-0.27866012615347197,0.5608952930949371,-1.2874198861289088,0.969373988562271,-0.7016435149641812,-0.4011052077651979,-0.186423753348246,0.7974674830200519,-0.19599360044667088,-0.4898941391671353,0.4130394943512544,-0.5046225367040575,-0.0040228863417888115,1.4201957424413003,0.3910648955668985,-0.04862412354377108
1,425496.178971041,189212.211496295,16,bal,1.5575034626761877,-0.35734900812097337,-1.9923159190783508,-1.5591808264196096,1.355725871269592,-0.7713856332120297,-0.3621691216933407,-0.34850977987710857,0.2284835577935933,-0.19599360044667088,-0.5300552892551575,0.4626163676581708,-1.0299546940667281,-0.0040228863417888115,1.3851066187598973,1.2243506874896213,-0.04862412354377108
2,425996.178971041,189212.211496295,16,bal,1.6085940855512817,-0.4402291671084697,-0.24781671261155225,-2.1305995888191056,1.429001792827037,-0.9328814081684192,-0.18971773956722904,-0.3688507533328608,0.2315916831572941,-0.19599360044667088,-0.5528687235817777,0.02423360344729578,-1.98174488548742,0.03918269748856936,1.3740270071719116,1.5549065166605711,-0.04862412354377108
3,426496.178971041,189212.211496295,16,bal,2.9732391116788865,0.10948414924032336,0.23311361561484034,-1.3585811561720078,0.8133928686984803,-0.741008405046865,-0.4368237005756627,-0.3014560057426475,0.5743491509574944,-0.19599360044667088,-0.5043703722088211,0.4425638781770724,-1.6132640034733854,-0.0040228863417888115,1.346849347259662,2.9072055020183227,-0.04862412354377108
4,426996.178971041,189212.211496295,16,bal,0.27808424607118104,-0.9739768698380722,-0.056063325156060266,-1.3297019905636098,1.152258926905142,-0.5351204644059784,-0.4042570611187894,-0.248892576418904,-0.014751486886571475,-0.19599360044667088,-0.284177163104224,-0.06610287009237348,-1.5791018652095452,-0.0040228863417888115,1.2519602478891814,2.3367009710663833,-0.04862412354377108
5,427496.178971041,189212.211496295,16,bal,1.4432436103295814,-0.5163282065382724,-1.0301195690551594,-1.8642879432670048,1.3891828194982618,-0.7604788960181642,-0.30726840459673355,-0.144058810917539,0.17371133580041054,-0.19599360044667088,-0.4704868772032296,-0.06559917275933673,-1.0915333130590792,-0.0040228863417888115,1.134174175791253,0.8667457359204399,-0.04862412354377108
6,427996.178971041,189212.211496295,16,bal,0.639034641250781,-1.3831070916749724,-1.9953180859941568,-2.263366312410209,1.7299035397830882,-0.9301313354812376,-0.29346232136261124,-0.03000516555618923,-0.21106754223112803,-0.19599360044667088,-0.4323258632817386,-0.7158925949199754,-2.341707325015389,-0.0040228863417888115,1.0217536838190902,0.6476665843608845,-0.04862412354377108
7,428496.178971041,189212.211496295,16,bal,-1.8926899164294184,-2.524541903066474,-0.3722330643980598,-0.10795364200030733,1.863131218609472,-1.072109473884104,-1.0158951352115086,0.15125547770619538,-0.12243927721236902,-0.19599360044667088,-0.19228971907481865,-0.3333348528504909,-2.4156379195530664,-0.0040228863417888115,0.9673478103261298,-0.3167641719885068,-0.04862412354377108
8,428996.178971041,189212.211496295,17,bal,-6.811353733790817,-4.883079009826176,-2.9570337984871604,-2.3748432227795067,2.296486572009666,-1.3290389608230595,-1.436956207892131,0.4042321325589457,-0.6580589386072879,-0.19599360044667088,0.3016845059878241,0.09527376843806336,-1.4203800741917467,0.08238828131892753,0.9108178180677988,-0.32400520927492515,-0.04862412354377108
9,429496.178971041,189212.211496295,17,bal,-6.20809910697522,-4.767570878598974,-1.825136811674561,-2.4670349068025037,2.1017258931756033,-1.3078015792507711,-1.4953269877409974,0.5188064566820146,-0.30999215814200354,-0.19599360044667088,0.30225880238079833,0.2765015544054965,-1.187270617658707,0.4712385351099437,0.6483549086992643,-0.6231678656241937,-0.04862412354377108
10,429996.178971041,189212.211496295,17,bal,-2.2040958303471214,-1.9825872286084727,-2.044859559282856,-1.6664939827228054,1.5383045058867348,-0.8930696009827415,-1.2150558070052495,0.4740661709569322,-0.35825695296519705,-0.19599360044667088,-0.2458379192836879,-0.8982285577125809,-0.03689395083204315,0.08238828131892753,0.21014224793169844,-0.5521243135804412,-0.04862412354377108
11,430496.178971041,189212.211496295,17,bal,-6.786796830860625,-4.939598791636573,-3.290499360139556,-2.0965610450663057,2.2516054110435064,-1.3318022735497304,-1.3627362551534192,1.3055517918803263,-0.6543492756407964,-0.19599360044667088,0.35713382553981354,-1.75932449311705,-2.7849198064367457,1.2921446285521885,0.4849931692800342,-0.602010852510141,-0.04862412354377108
12,430996.178971041,189212.211496295,17,bal,-5.5388611360531215,-4.0145721550857765,-3.3343378612851566,-2.2215515083317072,2.3793071211568098,-1.1402273820689333,-1.0028009433663518,0.2715321681047155,-0.7547043735049639,-0.19599360044667088,0.18577562446592855,0.22138234247079694,-2.0109417739217954,1.2921446285689562,1.1041640809158222,-0.7786033899421184,-0.04862412354377108
13,431496.178971041,189212.211496295,17,bal,-2.0948536919976206,-2.2151670441998728,-0.7242342541012476,-2.1623474069853046,1.8073797408818195,-1.0846602451040768,-1.136964110158969,0.0643449573362268,-0.7326581726165698,-0.19599360044667088,-0.16060439356765985,0.013703309790621598,-0.3270046551090289,0.471238535792151,1.188027958417282,-0.5715460779759812,-0.04862412354377108
